district,facility,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,has_full_accessibility
milenge dho,lwela,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,milenge east 7,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,mulumbi,0.5,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5,FALSE
milenge dho,sokontwe,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mkushi dho,chalata,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,chembe,0,0,0,0,0.75,1,1,1,1,1,0.75,0,FALSE
mkushi dho,chengelo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,chibefwe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,chikupili,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,chimika,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,chingombe,0,0,0,0,0.25,1,1,1,1,1,0.75,0,FALSE
mkushi dho,fiwila mission,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,kakushi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,kampelembe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,kaundula,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,luanshimba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,masansa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,mboroma,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,mboshya,0,0,0,0,0.25,1,1,1,1,1,0.75,0,FALSE
mkushi dho,miloso,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,mkushi coppermine,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,moffat,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,munsakamba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,musofu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,nkolonga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,nkumbi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,nshinso,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,old mkushi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mkushi dho,twatasha,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,boma,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,jivundu,0.25,0.25,0.25,0.75,1,1,1,1,1,1,0.75,0.5,FALSE
mufumbwe dho,kabanda,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75,FALSE
mufumbwe dho,kabipupu,0.25,0.25,0.5,1,1,1,1,1,1,1,0.75,0.5,FALSE
mufumbwe dho,kalengwa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,kaminzekenzeke,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,kashima,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,kinkonge,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,lubilo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,matushi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,miluji,0,0,0,0.25,0.25,0.75,1,1,1,1,0.75,0.5,FALSE
mufumbwe dho,mufumbwe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mufumbwe dho,munyambala,0.25,0.25,0.25,0.75,1,1,1,1,1,1,0.75,0.75,FALSE
mufumbwe dho,mushima,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75,FALSE
mungwi dho,chimba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,chitimukulu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,kalulu,0,0,0,1,1,1,1,1,1,1,1,0.5,FALSE
mungwi dho,kapolyo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,kayambi mission,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,makasa,0,0,0,1,1,1,1,1,1,1,1,0.5,FALSE
