district,configuration,facility,facility_has_full_accessibility,start_date,end_date,lead_time_days
chama dho,xdock,kanyelele,TRUE,2009-12-10,2009-12-17,7
chama dho,xdock,kanyelele,TRUE,2010-01-13,2010-02-15,33
chama dho,xdock,kanyelele,TRUE,2010-02-10,2010-02-15,5
chama dho,xdock,kanyelele,TRUE,2010-03-11,2010-03-15,4
chama dho,xdock,kanyelele,TRUE,2010-04-15,2010-04-27,12
chama dho,xdock,chibale,TRUE,2009-07-16,2009-08-06,21
chama dho,xdock,chibale,TRUE,2009-08-13,2009-08-26,13
chama dho,xdock,chibale,TRUE,2009-09-10,2009-09-15,5
chama dho,xdock,chibale,TRUE,2009-10-15,2009-10-28,13
chama dho,xdock,chibale,TRUE,2009-11-12,2009-12-02,20
chama dho,xdock,chibale,TRUE,2009-12-10,2009-12-12,2
chama dho,xdock,chibale,TRUE,2010-01-13,2010-02-22,40
chama dho,xdock,chibale,TRUE,2010-02-10,2010-02-22,12
chama dho,xdock,chibale,TRUE,2010-03-11,2010-03-19,8
chama dho,xdock,chibale,TRUE,2010-04-15,2010-04-27,12
chama dho,xdock,mulilo,FALSE,2009-07-16,2009-08-23,38
chama dho,xdock,mulilo,FALSE,2009-08-13,2009-08-23,10
chama dho,xdock,mulilo,FALSE,2009-09-10,2009-09-14,4
chama dho,xdock,mulilo,FALSE,2009-10-15,2009-10-28,13
chama dho,xdock,mulilo,FALSE,2009-11-12,2009-12-12,30
chama dho,xdock,mulilo,FALSE,2009-12-10,2009-12-12,2
chama dho,xdock,mulilo,FALSE,2010-01-13,2010-04-27,104
chama dho,xdock,mulilo,FALSE,2010-02-10,2010-04-27,76
chama dho,xdock,mulilo,FALSE,2010-03-11,2010-04-27,47
chama dho,xdock,mulilo,FALSE,2010-04-15,2010-04-27,12
chama dho,xdock,chilubanama,TRUE,2009-07-16,2009-08-24,39
chama dho,xdock,chilubanama,TRUE,2009-08-13,2009-08-24,11
chama dho,xdock,chilubanama,TRUE,2009-09-10,2009-09-16,6
chama dho,xdock,chilubanama,TRUE,2009-10-15,2009-11-05,21
chama dho,xdock,chilubanama,TRUE,2009-11-12,2009-11-20,8
chama dho,xdock,chilubanama,TRUE,2009-12-10,2009-12-14,4
chama dho,xdock,chilubanama,TRUE,2010-01-13,2010-01-27,14
chama dho,xdock,chilubanama,TRUE,2010-02-10,2010-03-01,19
chama dho,xdock,chilubanama,TRUE,2010-03-11,2010-03-20,9
chama dho,xdock,lundu,TRUE,2009-07-16,2009-08-24,39
chama dho,xdock,lundu,TRUE,2009-08-13,2009-08-24,11
chama dho,xdock,lundu,TRUE,2009-09-10,2009-09-17,7
chama dho,xdock,lundu,TRUE,2009-10-15,2009-10-27,12
chama dho,xdock,lundu,TRUE,2009-11-12,2009-12-15,33
chama dho,xdock,lundu,TRUE,2009-12-10,2009-12-15,5
chama dho,xdock,lundu,TRUE,2010-01-13,2010-03-03,49
chama dho,xdock,lundu,TRUE,2010-02-10,2010-03-03,21
chama dho,xdock,lundu,TRUE,2010-03-11,2010-04-28,48
chama dho,xdock,lundu,TRUE,2010-04-15,2010-04-28,13
chama dho,xdock,kambwili,FALSE,2009-08-13,2009-08-28,15
chama dho,xdock,kambwili,FALSE,2009-09-10,2009-09-21,11
chama dho,xdock,kambwili,FALSE,2009-10-15,2009-12-11,57
chama dho,xdock,kambwili,FALSE,2009-11-12,2009-12-11,29
chama dho,xdock,kambwili,FALSE,2009-12-10,2009-12-11,1
chama dho,xdock,kambwili,FALSE,2010-01-13,2010-04-26,103
chama dho,xdock,kambwili,FALSE,2010-02-10,2010-04-26,75
chama dho,xdock,kambwili,FALSE,2010-03-11,2010-04-26,46
chama dho,xdock,kambwili,FALSE,2010-04-15,2010-04-26,11
chavuma dho,xdock,chivombo,TRUE,2009-04-18,2009-04-23,5
chavuma dho,xdock,chivombo,TRUE,2009-05-14,2009-05-21,7
chavuma dho,xdock,chivombo,TRUE,2009-06-11,2009-06-18,7
chavuma dho,xdock,chivombo,TRUE,2009-07-16,2009-07-24,8
chavuma dho,xdock,chivombo,TRUE,2009-08-13,2009-08-28,15
chavuma dho,xdock,chivombo,TRUE,2009-09-10,2009-09-17,7
chavuma dho,xdock,chivombo,TRUE,2009-10-15,2009-10-19,4
chavuma dho,xdock,chivombo,TRUE,2009-11-12,2009-11-20,8
chavuma dho,xdock,chivombo,TRUE,2009-12-10,2009-12-28,18
chavuma dho,xdock,chivombo,TRUE,2010-01-14,2010-01-22,8
chavuma dho,xdock,chivombo,TRUE,2010-02-11,2010-02-17,6
chavuma dho,xdock,chivombo,TRUE,2010-03-12,2010-04-26,45
chavuma dho,xdock,chivombo,TRUE,2010-04-15,2010-04-26,11
chavuma dho,xdock,lukolwe mission,FALSE,2009-05-14,2009-05-21,7
chavuma dho,xdock,lukolwe mission,FALSE,2009-06-11,2009-06-19,8
chavuma dho,xdock,lukolwe mission,FALSE,2009-07-16,2009-07-25,9
chavuma dho,xdock,lukolwe mission,FALSE,2009-08-13,2009-08-27,14
