district,facility,date
kaoma dho,namilangi,2009-09-30
kaoma dho,mayukwayukwa 2 (aha),2009-10-01
kaoma dho,winda,2009-10-08
kaoma dho,mulwa,2009-10-08
kaoma dho,mangango,2009-10-13
kaoma dho,kaoma urban,2009-10-13
kaoma dho,kaoma district hospital,2009-10-13
kaoma dho,longe,2009-10-13
kaoma dho,mbanyutu,2009-10-14
kaoma dho,kaoma urban,2009-10-15
kaoma dho,luena camp,2009-10-16
kaoma dho,longe,2009-10-19
kaoma dho,mangango,2009-10-20
kaoma dho,luena camp,2009-10-22
kaoma dho,nkeyema,2009-10-23
kaoma dho,kaoma urban,2009-10-29
kaoma dho,zns mangango,2009-10-29
kaoma dho,luampa,2009-10-29
kaoma dho,luampa,2009-10-29
kaoma dho,mulamba,2009-10-30
kaoma dho,namilangi,2009-10-30
kaoma dho,mangango,2009-11-03
kaoma dho,mulamba,2009-11-04
kaoma dho,nkeyema,2009-11-04
kaoma dho,winda,2009-11-13
kaoma dho,zns mangango,2009-11-16
kaoma dho,luampa,2009-11-19
kaoma dho,katunda,2009-11-19
kaoma dho,nkenga,2009-11-19
kaoma dho,mangango,2009-11-20
kaoma dho,kaaba,2009-11-23
kaoma dho,kasabi,2009-11-23
kaoma dho,mbanyutu,2009-11-23
kaoma dho,nyambi 1,2009-11-24
kaoma dho,kahare,2009-11-26
kaoma dho,luena camp,2009-11-26
kaoma dho,chitwa,2009-11-27
kaoma dho,mwanambuyu,2009-11-30
kaoma dho,nkenga,2009-12-01
kaoma dho,zns mangango,2009-12-01
kaoma dho,njonjolo,2009-12-02
kaoma dho,kahare,2009-12-02
kaoma dho,nakayembe,2009-12-03
kaoma dho,mulwa,2009-12-03
kaoma dho,chitwa,2009-12-04
kaoma dho,njonjolo,2009-12-04
kaoma dho,nkeyema,2009-12-05
kaoma dho,namilangi,2009-12-08
kaoma dho,katunda,2009-12-11
kaoma dho,winda,2009-12-12
kaoma dho,kabilamwandi,2009-12-12
kaoma dho,kaaba,2009-12-23
kaoma dho,kasabi,2009-12-23
kaoma dho,luena camp,2009-12-24
kaoma dho,kaoma urban,2009-12-24
kaoma dho,mulamba,2009-12-24
kaoma dho,nyambi 1,2009-12-25
kaoma dho,nyambi 2,2009-12-25
kaoma dho,afumba,2009-12-25
kaoma dho,kandende,2009-12-29
kaoma dho,nkeyema,2009-12-29
kaoma dho,njonjolo,2009-12-29
kaoma dho,kabilamwandi,2009-12-29
kaoma dho,mayukwayukwa 2 (aha),2009-12-29
kaoma dho,mangango,2009-12-29
kaoma dho,mangango,2009-12-29
kaoma dho,zns mangango,2009-12-29
kaoma dho,luampa,2009-12-29
kaoma dho,luampa,2009-12-29
kaoma dho,luampa,2009-12-30
kaoma dho,kahare,2009-12-30
kaoma dho,chitwa,2009-12-31
kaoma dho,kasimba,2009-12-31
kaoma dho,katunda,2010-01-06
kaoma dho,nakayembe,2010-01-16
kaoma dho,mulwa,2010-01-16
kaoma dho,nkeyema,2010-01-18
kaoma dho,nkenga,2010-01-21
kaoma dho,mwanambuyu,2010-01-21
kaoma dho,lui,2010-01-21
kaoma dho,chitwa,2010-01-22
kaoma dho,kasimba,2010-01-22
kaoma dho,luena camp,2010-01-22
kaoma dho,kaoma urban,2010-01-22
kaoma dho,mulamba,2010-01-22
kaoma dho,nyambi 1,2010-01-23
kaoma dho,nyambi 2,2010-01-23
kaoma dho,afumba,2010-01-23
kaoma dho,njonjolo,2010-01-25
kaoma dho,katunda,2010-01-25
kaoma dho,zns mangango,2010-01-25
kaoma dho,luampa,2010-01-26
kaoma dho,luampa,2010-01-26
kaoma dho,nyambi 1,2010-02-01
kaoma dho,kaaba,2010-02-15
kaoma dho,kasabi,2010-02-15
kaoma dho,mwanambuyu,2010-02-15
kaoma dho,nkeyema,2010-02-15
kaoma dho,luena camp,2010-02-16
kaoma dho,kabilamwandi,2010-02-17
kaoma dho,mulwa,2010-02-17
kaoma dho,kaoma urban,2010-02-17
kaoma dho,mulamba,2010-02-17
kaoma dho,saint josephs,2010-02-18
kaoma dho,namilangi,2010-02-18
kaoma dho,mayukwayukwa 1,2010-02-21
kaoma dho,mayukwayukwa 2 (aha),2010-02-21
kaoma dho,nkenga,2010-03-11
kaoma dho,mulwa,2010-03-11
kaoma dho,winda,2010-03-11
kaoma dho,kasimba,2010-03-12
kaoma dho,chitwa,2010-03-12
kaoma dho,afumba,2010-03-13
kaoma dho,nyambi 1,2010-03-13
kaoma dho,nyambi 2,2010-03-13
kaoma dho,luampa,2010-03-13
kaoma dho,nkeyema,2010-03-15
kaoma dho,namilangi,2010-03-15
kaoma dho,kaoma urban,2010-03-16
kaoma dho,mulamba,2010-03-16
kaoma dho,luena camp,2010-03-16
kaoma dho,mangango,2010-03-17
kaoma dho,mulwa,2010-03-18
kaoma dho,nakayembe,2010-03-18
kaoma dho,mbanyutu,2010-03-18
kaoma dho,lui,2010-03-18
kaoma dho,chitwa,2010-03-18
kaoma dho,kasimba,2010-03-18
kaoma dho,katunda,2010-03-19
kaoma dho,mayukwayukwa 2 (aha),2010-03-19
kaoma dho,namilangi,2010-03-19
kaoma dho,kahare,2010-03-19
kaoma dho,njonjolo,2010-03-19
kaoma dho,nkeyema,2010-03-19
kaoma dho,kahare,2010-03-25
kaoma dho,winda,2010-04-01
kaoma dho,kaaba,2010-04-01
kaoma dho,kasabi,2010-04-01
kaoma dho,mayukwayukwa 1,2010-04-01
kaoma dho,luena camp,2010-04-02
kaoma dho,mulwa,2010-04-08
kaoma dho,winda,2010-04-09
kaoma dho,kabilamwandi,2010-04-09
kaoma dho,mwanambuyu,2010-04-09
kaoma dho,kasimba,2010-04-19
kaoma dho,mulamba,2010-04-20
kaoma dho,kaoma urban,2010-04-20
kaoma dho,mangango,2010-04-20
kaoma dho,nyambi 2,2010-04-20
kaoma dho,afumba,2010-04-20
kaoma dho,mayukwayukwa 2 (aha),2010-04-21
kaoma dho,mayukwayukwa 2 (aha),2010-04-21
kaoma dho,luena camp,2010-04-22
kaoma dho,namilangi,2010-04-22
kaoma dho,kahare,2010-04-23
kaoma dho,kandende,2010-04-23
kaoma dho,nkeyema,2010-04-23
kaoma dho,kasabi,2010-04-26
kaoma dho,katunda,2010-04-26
kaoma dho,lui,2010-04-26
kaoma dho,mwanambuyu,2010-04-26
kaoma dho,kaaba,2010-04-26
kaoma dho,mulwa,2010-04-27
kaoma dho,nakayembe,2010-04-27
kasama dho,lukupa,2009-05-08
kasama dho,mwamba,2009-05-08
kasama dho,lukashi,2009-05-08
kasama dho,musa,2009-05-13
kasama dho,nkolemfumu,2009-05-13
kasama dho,chanda mukulu,2009-05-13
kasama dho,mulanshi,2009-05-15
kasama dho,mumbi mukulu,2009-05-15
kasama dho,mulobola,2009-05-22
kasama dho,mbusa,2009-05-22
kasama dho,kateshi,2009-05-26
kasama dho,milima,2009-05-26
kasama dho,misamfu,2009-05-26
kasama dho,chilubula,2009-05-27
kasama dho,chilongoshi,2009-05-27
kasama dho,misengo,2009-05-27
kasama dho,zns chishimba,2009-05-27
kasama dho,chiombo,2009-05-28
kasama dho,kasakula,2009-05-28
kasama dho,munkonge,2009-05-28
kasama dho,lubushi,2009-05-28
kasama dho,army,2009-05-29
kasama dho,kasama urban,2009-05-29
kasama dho,location,2009-05-29
kasama dho,mulenga,2009-06-01
kasama dho,tazara,2009-06-01
kasama dho,chisanga,2009-06-01
kasama dho,college,2009-06-01
kasama dho,chilubula,2009-06-15
kasama dho,zns chishimba,2009-06-16
kasama dho,chilongoshi,2009-06-16
kasama dho,misengo,2009-06-16
kasama dho,location,2009-06-17
kasama dho,lukupa,2009-06-18
kasama dho,mwamba,2009-06-18
kasama dho,lukashi,2009-06-18
kasama dho,lubushi,2009-06-23
kasama dho,munkonge,2009-06-23
kasama dho,chiombo,2009-06-23
kasama dho,kasakula,2009-06-23
kasama dho,mulenga,2009-06-24
kasama dho,college,2009-06-24
kasama dho,kateshi,2009-06-25
kasama dho,milima,2009-06-25
kasama dho,lukashya,2009-06-25
kasama dho,misamfu,2009-06-25
