district,facility,date
kabompo dho,mayawu,2009-10-09
kabompo dho,mumbeji,2009-10-08
kabompo dho,ndungo,9-10-13
kabompo dho,nkulwashi,2009-10-02
kabompo dho,saint kalemba,2009-10-01
kabompo dho,chifuwe south,2009-11-09
kabompo dho,chikonkwelo,2009-11-09
kabompo dho,dyambombola,2009-11-05
kabompo dho,kabompo,2009-11-09
kabompo dho,kabulamema,2009-11-09
kabompo dho,kalunga,2009-11-05
kabompo dho,kasamba,2009-11-09
kabompo dho,kashinakaji,2009-11-10
kabompo dho,kayombo,2009-11-04
kabompo dho,luansongwa,2009-11-05
kabompo dho,loloma,2009-11-04
kabompo dho,mayawu,2009-11-05
kabompo dho,mumbeji,2009-11-06
kabompo dho,ndungo,2009-11-04
kabompo dho,nkulwashi,2009-11-02
kabompo dho,saint kalemba,2009-11-05
kabompo dho,chifuwe south,2009-12-04
kabompo dho,chikonkwelo,2009-12-04
kabompo dho,dyambombola,2009-12-06
kabompo dho,kabompo,2009-12-04
kabompo dho,kabulamema,2009-12-04
kabompo dho,kalunga,2009-12-03
kabompo dho,kasamba,2009-12-04
kabompo dho,kashinakaji,2009-12-03
kabompo dho,kayombo,2009-12-04
kabompo dho,luansongwa,2009-12-04
kabompo dho,loloma,2009-12-04
kabompo dho,mayawu,2009-12-05
kabompo dho,mumbeji,2009-12-06
kabompo dho,ndungo,2009-12-04
kabompo dho,nkulwashi,2009-12-04
kabompo dho,saint kalemba,2009-12-05
kabompo dho,chifuwe south,2010-01-04
kabompo dho,chikonkwelo,2010-01-04
kabompo dho,dyambombola,2010-01-09
kabompo dho,kabompo,2010-01-04
kabompo dho,kabulamema,2010-01-04
kabompo dho,kalunga,2010-01-04
kabompo dho,kasamba,2010-01-04
kabompo dho,kashinakaji,2010-01-03
kabompo dho,kayombo,2010-01-04
kabompo dho,luansongwa,2010-01-04
kabompo dho,loloma,2010-01-04
kabompo dho,mayawu,2010-01-08
kabompo dho,mumbeji,2010-01-10
kabompo dho,ndungo,2010-01-04
kabompo dho,nkulwashi,2010-01-04
kabompo dho,saint kalemba,2010-01-10
kabompo dho,chifuwe south,2010-02-02
kabompo dho,chikonkwelo,2010-02-03
kabompo dho,dyambombola,2010-02-04
kabompo dho,kabompo,2010-02-11
kabompo dho,kabulamema,2010-02-02
kabompo dho,kalunga,2010-02-04
kabompo dho,kasamba,2010-02-08
kabompo dho,kashinakaji,2010-02-04
kabompo dho,kayombo,2010-02-04
kabompo dho,luansongwa,2010-02-04
