district,facility,start_date,end_date,lead_time
kaoma dho,nkenga,2009-08-13,2009-09-08,26
kaoma dho,nkenga,2009-09-10,2009-11-19,70
kaoma dho,nkenga,2009-10-15,2009-11-19,35
kaoma dho,nkenga,2009-11-12,2009-11-19,7
kaoma dho,nkenga,2009-12-10,2010-01-21,42
kaoma dho,nkenga,2010-01-20,2010-01-21,1
kaoma dho,nkenga,2010-02-17,2010-03-11,22
kaoma dho,kahare,2009-08-13,2009-09-15,33
kaoma dho,kahare,2009-09-10,2009-09-15,5
kaoma dho,kahare,2009-10-15,2009-11-26,42
kaoma dho,kahare,2009-11-12,2009-11-26,14
kaoma dho,kahare,2009-12-10,2009-12-30,20
kaoma dho,kahare,2010-01-20,2010-03-19,58
kaoma dho,kahare,2010-02-17,2010-03-19,30
kaoma dho,kahare,2010-03-17,2010-03-19,2
kaoma dho,kahare,2010-04-21,2010-04-23,2
kaoma dho,njonjolo,2009-08-13,2009-09-04,22
kaoma dho,njonjolo,2009-09-10,2009-12-02,83
kaoma dho,njonjolo,2009-10-15,2009-12-02,48
kaoma dho,njonjolo,2009-11-12,2009-12-02,20
kaoma dho,njonjolo,2009-12-10,2009-12-29,19
kaoma dho,njonjolo,2010-01-20,2010-01-25,5
kaoma dho,njonjolo,2010-02-17,2010-03-19,30
kaoma dho,njonjolo,2010-03-17,2010-03-19,2
kaoma dho,namilangi,2009-08-13,2009-09-04,22
kaoma dho,namilangi,2009-09-10,2009-09-15,5
kaoma dho,namilangi,2009-10-15,2009-10-30,15
kaoma dho,namilangi,2009-11-12,2009-12-08,26
kaoma dho,namilangi,2009-12-10,2010-02-18,70
kaoma dho,namilangi,2010-01-20,2010-02-18,29
kaoma dho,namilangi,2010-02-17,2010-02-18,1
kaoma dho,namilangi,2010-03-17,2010-03-19,2
kaoma dho,namilangi,2010-04-21,2010-04-22,1
kaoma dho,kabilamwandi,2009-09-10,2009-09-15,5
kaoma dho,kabilamwandi,2009-10-15,2009-12-12,58
kaoma dho,kabilamwandi,2009-11-12,2009-12-12,30
kaoma dho,kabilamwandi,2009-12-10,2009-12-12,2
kaoma dho,kabilamwandi,2010-01-20,2010-02-17,28
kaoma dho,kabilamwandi,2010-02-17,2010-04-09,51
kaoma dho,kabilamwandi,2010-03-17,2010-04-09,23
kaoma dho,winda,2009-09-10,2009-09-15,5
kaoma dho,winda,2009-10-15,2009-11-13,29
kaoma dho,winda,2009-11-12,2009-11-13,1
kaoma dho,winda,2009-12-10,2009-12-12,2
kaoma dho,winda,2010-01-20,2010-03-11,50
kaoma dho,winda,2010-02-17,2010-03-11,22
kaoma dho,winda,2010-03-17,2010-04-01,15
kaoma dho,nakayembe,2009-09-10,2009-12-03,84
kaoma dho,nakayembe,2009-10-15,2009-12-03,49
kaoma dho,nakayembe,2009-11-12,2009-12-03,21
kaoma dho,nakayembe,2009-12-10,2010-01-16,37
kaoma dho,nakayembe,2010-01-20,2010-03-18,57
kaoma dho,nakayembe,2010-02-17,2010-03-18,29
kaoma dho,nakayembe,2010-03-17,2010-03-18,1
kaoma dho,nakayembe,2010-04-21,2010-04-27,6
kaoma dho,afumba,2009-09-10,2009-12-25,106
kaoma dho,afumba,2009-10-15,2009-12-25,71
kaoma dho,afumba,2009-11-12,2009-12-25,43
kaoma dho,afumba,2009-12-10,2009-12-25,15
kaoma dho,afumba,2010-01-20,2010-01-23,3
kaoma dho,afumba,2010-02-17,2010-03-13,24
kaoma dho,afumba,2010-03-17,2010-04-20,34
kaoma dho,mayukwayukwa 1,2009-09-10,2010-02-21,164
kaoma dho,mayukwayukwa 1,2009-10-15,2010-02-21,129
kaoma dho,mayukwayukwa 1,2009-11-12,2010-02-21,101
kaoma dho,mayukwayukwa 1,2009-12-10,2010-02-21,73
kaoma dho,mayukwayukwa 1,2010-01-20,2010-02-21,32
kaoma dho,mayukwayukwa 1,2010-02-17,2010-02-21,4
kaoma dho,mayukwayukwa 1,2010-03-17,2010-04-01,15
kaoma dho,kaoma district hospital,2009-09-10,2009-09-14,4
kaoma dho,luampa,2009-09-10,2009-10-29,49
kaoma dho,luampa,2009-10-15,2009-10-29,14
kaoma dho,luampa,2009-11-12,2009-11-19,7
kaoma dho,luampa,2009-12-10,2009-12-29,19
kaoma dho,luampa,2010-01-20,2010-01-26,6
kaoma dho,luampa,2010-02-17,2010-03-13,24
kaoma dho,mangango,2009-09-10,2009-09-14,4
kaoma dho,mangango,2009-10-15,2009-10-20,5
kaoma dho,mangango,2009-11-12,2009-11-20,8
kaoma dho,mangango,2009-12-10,2009-12-29,19
kaoma dho,mangango,2010-01-20,2010-03-17,56
kaoma dho,mangango,2010-02-17,2010-03-17,28
kaoma dho,mangango,2010-03-17,2010-04-20,34
kaoma dho,kaoma urban,2009-09-10,2009-09-18,8
kaoma dho,kaoma urban,2009-10-15,2009-10-29,14
kaoma dho,kaoma urban,2009-11-12,2009-12-24,42
kaoma dho,kaoma urban,2009-12-10,2009-12-24,14
kaoma dho,kaoma urban,2010-01-20,2010-01-22,2
kaoma dho,kaoma urban,2010-02-17,2010-03-16,27
kaoma dho,kaoma urban,2010-03-17,2010-04-20,34
kaoma dho,mulamba,2009-09-10,2009-10-30,50
kaoma dho,mulamba,2009-10-15,2009-10-30,15
kaoma dho,mulamba,2009-11-12,2009-12-24,42
kaoma dho,mulamba,2009-12-10,2009-12-24,14
kaoma dho,mulamba,2010-01-20,2010-01-22,2
kaoma dho,mulamba,2010-02-17,2010-03-16,27
kaoma dho,mulamba,2010-03-17,2010-04-20,34
kaoma dho,longe,2009-09-10,2009-10-13,33
kaoma dho,longe,2009-10-15,2009-10-19,4
kaoma dho,nkeyema,2009-09-10,2009-09-18,8
kaoma dho,nkeyema,2009-10-15,2009-10-23,8
kaoma dho,nkeyema,2009-11-12,2009-12-05,23
kaoma dho,nkeyema,2009-12-10,2009-12-29,19
kaoma dho,nkeyema,2010-01-20,2010-02-15,26
kaoma dho,nkeyema,2010-02-17,2010-03-15,26
kaoma dho,nkeyema,2010-03-17,2010-03-19,2
kaoma dho,nkeyema,2010-04-21,2010-04-23,2
kaoma dho,kaaba,2009-09-10,2009-09-29,19
kaoma dho,kaaba,2009-10-15,2009-11-23,39
kaoma dho,kaaba,2009-11-12,2009-11-23,11
kaoma dho,kaaba,2009-12-10,2009-12-23,13
kaoma dho,kaaba,2010-01-20,2010-02-15,26
kaoma dho,kaaba,2010-02-17,2010-04-01,43
kaoma dho,kaaba,2010-03-17,2010-04-01,15
kaoma dho,kaaba,2010-04-21,2010-04-26,5
kaoma dho,mulwa,2009-09-10,2009-10-08,28
kaoma dho,mulwa,2009-10-15,2009-12-03,49
kaoma dho,mulwa,2009-11-12,2009-12-03,21
kaoma dho,mulwa,2009-12-10,2010-01-16,37
kaoma dho,mulwa,2010-01-20,2010-02-17,28
kaoma dho,mulwa,2010-02-17,2010-03-11,22
kaoma dho,mulwa,2010-03-17,2010-03-18,1
kaoma dho,mulwa,2010-04-21,2010-04-27,6
kaoma dho,kasimba,2009-09-10,2009-12-31,112
kaoma dho,kasimba,2009-10-15,2009-12-31,77
kaoma dho,kasimba,2009-11-12,2009-12-31,49
kaoma dho,kasimba,2009-12-10,2009-12-31,21
kaoma dho,kasimba,2010-01-20,2010-01-22,2
kaoma dho,kasimba,2010-02-17,2010-03-12,23
kaoma dho,kasimba,2010-03-17,2010-03-18,1
kaoma dho,katunda,2009-09-10,2009-09-16,6
kaoma dho,katunda,2009-10-15,2009-11-19,35
kaoma dho,katunda,2009-11-12,2009-11-19,7
kaoma dho,katunda,2009-12-10,2009-12-11,1
kaoma dho,katunda,2010-01-20,2010-01-25,5
kaoma dho,katunda,2010-02-17,2010-03-19,30
kaoma dho,katunda,2010-03-17,2010-03-19,2
kaoma dho,katunda,2010-04-21,2010-04-26,5
kaoma dho,nyambi 1,2009-09-10,2009-11-24,75
kaoma dho,nyambi 1,2009-10-15,2009-11-24,40
kaoma dho,nyambi 1,2009-11-12,2009-11-24,12
kaoma dho,nyambi 1,2009-12-10,2009-12-25,15
kaoma dho,nyambi 1,2010-01-20,2010-01-23,3
kaoma dho,nyambi 1,2010-02-17,2010-03-13,24
kaoma dho,nyambi 2,2009-09-10,2009-12-25,106
kaoma dho,nyambi 2,2009-10-15,2009-12-25,71
kaoma dho,nyambi 2,2009-11-12,2009-12-25,43
kaoma dho,nyambi 2,2009-12-10,2009-12-25,15
kaoma dho,nyambi 2,2010-01-20,2010-01-23,3
kaoma dho,nyambi 2,2010-02-17,2010-03-13,24
kaoma dho,nyambi 2,2010-03-17,2010-04-20,34
kaoma dho,lui,2009-10-15,2010-01-21,98
kaoma dho,lui,2009-11-12,2010-01-21,70
kaoma dho,lui,2009-12-10,2010-01-21,42
kaoma dho,lui,2010-01-20,2010-01-21,1
kaoma dho,lui,2010-02-17,2010-03-18,29
kaoma dho,lui,2010-03-17,2010-03-18,1
kaoma dho,lui,2010-04-21,2010-04-26,5
kaoma dho,zns mangango,2009-10-15,2009-10-29,14
kaoma dho,zns mangango,2009-11-12,2009-11-16,4
kaoma dho,zns mangango,2009-12-10,2009-12-29,19
kaoma dho,zns mangango,2010-01-20,2010-01-25,5
kaoma dho,chitwa,2009-10-15,2009-11-27,43
kaoma dho,chitwa,2009-11-12,2009-11-27,15
kaoma dho,chitwa,2009-12-10,2009-12-31,21
kaoma dho,chitwa,2010-01-20,2010-01-22,2
kaoma dho,chitwa,2010-02-17,2010-03-12,23
kaoma dho,chitwa,2010-03-17,2010-03-18,1
kaoma dho,mayukwayukwa 2 (aha),2009-10-15,2009-12-29,75
kaoma dho,mayukwayukwa 2 (aha),2009-11-12,2009-12-29,47
kaoma dho,mayukwayukwa 2 (aha),2009-12-10,2009-12-29,19
kaoma dho,mayukwayukwa 2 (aha),2010-01-20,2010-02-21,32
kaoma dho,mayukwayukwa 2 (aha),2010-02-17,2010-02-21,4
kaoma dho,mayukwayukwa 2 (aha),2010-03-17,2010-03-19,2
kaoma dho,mbanyutu,2009-10-15,2009-11-23,39
kaoma dho,mbanyutu,2009-11-12,2009-11-23,11
kaoma dho,mbanyutu,2009-12-10,2010-03-18,98
kaoma dho,mbanyutu,2010-01-20,2010-03-18,57
kaoma dho,mbanyutu,2010-02-17,2010-03-18,29
kaoma dho,mbanyutu,2010-03-17,2010-03-18,1
kaoma dho,kasabi,2009-12-10,2009-12-23,13
kaoma dho,kasabi,2010-01-20,2010-02-15,26
kaoma dho,kasabi,2010-02-17,2010-04-01,43
kaoma dho,kasabi,2010-03-17,2010-04-01,15
kaoma dho,kasabi,2010-04-21,2010-04-26,5
kaoma dho,mwanambuyu,2009-12-10,2010-01-21,42
kaoma dho,mwanambuyu,2010-01-20,2010-01-21,1
kaoma dho,mwanambuyu,2010-02-17,2010-04-09,51
kaoma dho,mwanambuyu,2010-03-17,2010-04-09,23
kaoma dho,mwanambuyu,2010-04-21,2010-04-26,5
kaoma dho,kandende,2010-01-20,2010-04-23,93
kaoma dho,kandende,2010-02-17,2010-04-23,65
kaoma dho,kandende,2010-03-17,2010-04-23,37
kaoma dho,kandende,2010-04-21,2010-04-23,2
kasama dho,lukupa,2009-06-03,2009-06-18,15
kasama dho,lukupa,2009-07-10,2009-08-19,40
kasama dho,lukupa,2009-08-06,2009-08-19,13
kasama dho,lukupa,2009-09-02,2009-09-22,20
kasama dho,lukupa,2009-10-07,2009-10-26,19
kasama dho,lukupa,2009-11-04,2009-11-25,21
kasama dho,lukupa,2009-12-02,2009-12-29,27
kasama dho,lukupa,2010-01-06,2010-02-01,26
kasama dho,lukupa,2010-02-03,2010-02-26,23
kasama dho,lukupa,2010-03-03,2010-03-22,19
kasama dho,lukupa,2010-04-08,2010-04-22,14
kasama dho,mwamba,2009-06-03,2009-06-18,15
kasama dho,mwamba,2009-07-10,2009-08-19,40
kasama dho,mwamba,2009-08-06,2009-08-19,13
kasama dho,mwamba,2009-09-02,2009-09-22,20
kasama dho,mwamba,2009-10-07,2009-10-26,19
kasama dho,mwamba,2009-11-04,2009-11-25,21
kasama dho,mwamba,2009-12-02,2009-12-29,27
kasama dho,mwamba,2010-01-06,2010-02-01,26
kasama dho,mwamba,2010-02-03,2010-02-26,23
kasama dho,mwamba,2010-03-03,2010-03-22,19
kasama dho,mwamba,2010-04-08,2010-04-22,14
kasama dho,lukashi,2009-06-03,2009-06-18,15
kasama dho,lukashi,2009-07-10,2009-08-19,40
kasama dho,lukashi,2009-08-06,2009-08-19,13
kasama dho,lukashi,2009-09-02,2009-09-22,20
kasama dho,lukashi,2009-10-07,2009-10-26,19
kasama dho,lukashi,2009-11-04,2009-11-25,21
kasama dho,lukashi,2009-12-02,2009-12-29,27
kasama dho,lukashi,2010-01-06,2010-02-01,26
kasama dho,lukashi,2010-02-03,2010-03-22,47
kasama dho,lukashi,2010-03-03,2010-03-22,19
kasama dho,lukashi,2010-04-08,2010-04-22,14
kasama dho,musa,2009-06-03,2009-06-30,27
kasama dho,musa,2009-07-10,2009-07-27,17
